ecli,indegree,outdegree,page_rank,hub_score,initial_hub_score,hub_rank,authority,betweenness,info_map
ECLI:EU:C:1984:264,2,1,6.712730847665328e-5,2.5959614195867708e-17,1.9851147713252053e-7,7.107597368116229e-5,8.817314141344378e-17,3,1
ECLI:EU:C:1984:267,8,1,1.0122793697160366e-4,2.378027134352987e-10,4.2787116624797075e-17,4.908374206620895e-4,2.2987711431534454e-9,3279.5395894552944,1
ECLI:EU:C:1984:269,1,5,3.422176510574481e-5,1.1862773669441477e-8,7.862830125259188e-5,3.158932163607213e-5,4.685341702951188e-13,8.5,2
ECLI:EU:C:1984:270,8,1,5.945712047061307e-5,2.765509361798675e-10,1.3463679364602815e-16,5.083007858072082e-4,4.788340360059236e-9,234.14770500746025,1
ECLI:EU:C:1984:272,1,1,3.352991449243276e-5,1.131640795260933e-12,2.1563756890486544e-6,3.881185712721255e-5,1.849788143732263e-11,7.98174603174603,28
ECLI:EU:C:1984:274,8,2,7.533328260512557e-5,3.323279352197127e-9,2.9677022461449063e-10,3.314640551966022e-4,6.772851263922563e-7,7405.507192410512,21
ECLI:EU:C:1984:277,5,1,8.675421511396125e-5,1.6001513471313404e-10,7.800780594017145e-5,2.1497159932666897e-4,2.1006492809389616e-10,66.96009748389399,5
ECLI:EU:C:1984:280,3,4,5.5074721382302385e-5,3.438391114603604e-11,1.9861743975774235e-7,1.8732471618177924e-4,1.95480507979526e-11,12989.069888154,40
ECLI:EU:C:1984:307,13,1,8.031634774143678e-5,1.875618166197948e-8,9.743513141166545e-5,8.450090738231119e-4,8.436584994914546e-7,1042.7247165031467,1
ECLI:EU:C:1984:309,35,1,1.4708327759352632e-4,1.3347268662627238e-11,2.477686178625046e-7,0.0022991914019762864,8.356133259988716e-7,4538.773372134341,7
